label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	3	moe_output	256-512	20	0.397146362	0.120371435	-0.000227744	-0.000057414	-0.009082031	nan	nan	nan
base_k100	3	moe_output	512-768	20	0.397117946	0.119162274	-0.000326881	-0.000067690	-0.005859375	nan	nan	nan
base_k100	3	moe_output	64-256	15	0.397008308	0.131908391	+0.000715542	+0.000503246	+0.007552083	nan	nan	nan
base_k100	3	moe_output	768-1024	21	0.379282966	0.094427189	-0.000732247	-0.000644753	+0.000372024	nan	nan	nan
base_k100	3	moe_output	all	592	0.428228861	0.126473372	+0.000008228	-0.000020804	+0.000563750	nan	nan	nan
base_k100	3	output	0-64	320	0.398832921	0.062119355	+0.002035893	+0.000401916	+0.055468750	nan	nan	nan
base_k100	3	output	1024-1000000000	196	0.499508831	0.042435413	-0.001379658	-0.000606404	-0.005739796	nan	nan	nan
base_k100	3	output	256-512	20	0.399447459	0.049090669	+0.002517012	+0.000601923	-0.068750000	nan	nan	nan
base_k100	3	output	512-768	20	0.399585298	0.043815503	+0.002516288	+0.000737731	+0.006250000	nan	nan	nan
base_k100	3	output	64-256	15	0.399135486	0.063716838	-0.001891931	-0.001611313	+0.008333333	nan	nan	nan
base_k100	3	output	768-1024	21	0.380530468	0.046960113	+0.001701440	+0.000228712	-0.029761905	nan	nan	nan
base_k100	3	output	all	592	0.431569414	0.053168669	+0.000826165	+0.000029027	+0.025126689	nan	nan	nan
base_k100	3	router_logits	0-64	320	0.399554107	0.040860083	-0.000982259	-0.000899156	-0.000634766	0.975000000	0.970416667	+0.001806641
base_k100	3	router_logits	1024-1000000000	196	0.499781038	0.028664988	+0.003615142	+0.003879924	+0.007095026	0.974489796	0.981632653	+0.004225128
base_k100	3	router_logits	256-512	20	0.399829766	0.033056858	+0.002174085	+0.002260351	+0.010156250	0.900000000	0.960000000	+0.012500000
base_k100	3	router_logits	512-768	20	0.399770039	0.032655883	+0.000929716	+0.000595331	-0.015625000	1.000000000	0.960000000	-0.018750000
base_k100	3	router_logits	64-256	15	0.399711259	0.037390127	+0.004982011	+0.003993416	+0.002083333	1.000000000	1.000000000	-0.015625000
base_k100	3	router_logits	768-1024	21	0.380752870	0.030680873	-0.002571123	-0.003285590	-0.002976190	1.000000000	0.980952381	-0.005952381
base_k100	3	router_logits	all	592	0.432091002	0.035291989	+0.000805841	+0.000879650	+0.001768370	0.974662162	0.974549550	+0.001557221
base_k100	4	attention_output	0-64	320	0.396695788	0.121779103	-0.009224492	-0.004050405	-0.226367188	nan	nan	nan
base_k100	4	attention_output	1024-1000000000	196	0.497638902	0.096518017	-0.004961610	-0.003331698	-0.047512755	nan	nan	nan
base_k100	4	attention_output	256-512	20	0.397137180	0.115527323	-0.005853254	-0.001017815	-0.081250000	nan	nan	nan
base_k100	4	attention_output	512-768	20	0.397823849	0.104574917	-0.005364954	-0.001069894	-0.150000000	nan	nan	nan
base_k100	4	attention_output	64-256	15	0.395535676	0.148973052	-0.017230654	-0.011740534	-0.404166667	nan	nan	nan
base_k100	4	attention_output	768-1024	21	0.378315415	0.114036293	-0.001802791	+0.002404625	-0.130952381	nan	nan	nan
base_k100	4	attention_output	all	592	0.429487764	0.111771240	-0.007508439	-0.003575181	-0.160789696	nan	nan	nan
base_k100	4	input	0-64	320	0.398832921	0.062119355	+0.002035893	+0.000401916	+0.055468750	nan	nan	nan
base_k100	4	input	1024-1000000000	196	0.499508831	0.042435413	-0.001379658	-0.000606404	-0.005739796	nan	nan	nan
base_k100	4	input	256-512	20	0.399447459	0.049090669	+0.002517012	+0.000601923	-0.068750000	nan	nan	nan
base_k100	4	input	512-768	20	0.399585298	0.043815503	+0.002516288	+0.000737731	+0.006250000	nan	nan	nan
base_k100	4	input	64-256	15	0.399135486	0.063716838	-0.001891931	-0.001611313	+0.008333333	nan	nan	nan
base_k100	4	input	768-1024	21	0.380530468	0.046960113	+0.001701440	+0.000228712	-0.029761905	nan	nan	nan
base_k100	4	input	all	592	0.431569414	0.053168669	+0.000826165	+0.000029027	+0.025126689	nan	nan	nan
base_k100	4	mlp_output	0-64	320	0.397842469	0.086483153	+0.000074406	+0.000447557	-0.008691406	nan	nan	nan
base_k100	4	mlp_output	1024-1000000000	196	0.499201011	0.056886568	+0.000528402	+0.000410528	+0.008609694	nan	nan	nan
base_k100	4	mlp_output	256-512	20	0.398579866	0.077869943	+0.001771897	+0.000703822	+0.060937500	nan	nan	nan
base_k100	4	mlp_output	512-768	20	0.399214825	0.067395274	+0.005318674	+0.001173726	+0.084375000	nan	nan	nan
base_k100	4	mlp_output	64-256	15	0.399165467	0.078327080	+0.020727992	+0.006509022	+0.285416667	nan	nan	nan
base_k100	4	mlp_output	768-1024	21	0.379618946	0.079797120	+0.003409371	+0.002433788	+0.026785714	nan	nan	nan
base_k100	4	mlp_output	all	592	0.430858720	0.073887455	+0.001100852	+0.000692529	+0.011243666	nan	nan	nan
base_k100	4	moe_output	0-64	320	0.393849020	0.150142374	-0.000214935	-0.000202576	-0.002081299	nan	nan	nan
base_k100	4	moe_output	1024-1000000000	196	0.493894710	0.123772314	-0.000654719	-0.000574526	-0.002278231	nan	nan	nan
base_k100	4	moe_output	256-512	20	0.395677555	0.150884717	+0.000157664	+0.000077239	+0.000756836	nan	nan	nan
base_k100	4	moe_output	512-768	20	0.390171307	0.187683854	+0.000925302	+0.000894024	+0.000463867	nan	nan	nan
base_k100	4	moe_output	64-256	15	0.397093825	0.154308215	+0.003762905	+0.003125359	+0.005598958	nan	nan	nan
base_k100	4	moe_output	768-1024	21	0.378584708	0.158597571	+0.000535021	+0.000105949	+0.015043713	nan	nan	nan
base_k100	4	moe_output	all	592	0.426450529	0.141605817	-0.000182037	-0.000183954	-0.001162555	nan	nan	nan
base_k100	4	output	0-64	320	0.398475140	0.071178035	+0.000746062	+0.000437653	+0.026171875	nan	nan	nan
base_k100	4	output	1024-1000000000	196	0.499218996	0.051511597	-0.003046043	-0.000986929	-0.078443878	nan	nan	nan
base_k100	4	output	256-512	20	0.399243557	0.058795795	+0.002325159	+0.000435932	-0.093750000	nan	nan	nan
base_k100	4	output	512-768	20	0.398837277	0.065845169	+0.004080296	+0.002456021	-0.125000000	nan	nan	nan
base_k100	4	output	64-256	15	0.399068817	0.069914791	+0.001038822	+0.000797077	+0.075000000	nan	nan	nan
base_k100	4	output	768-1024	21	0.380275525	0.057199590	-0.001079508	-0.000398798	+0.047619048	nan	nan	nan
base_k100	4	output	all	592	0.431237167	0.062629446	-0.000400782	+0.000013566	-0.015625000	nan	nan	nan
base_k100	4	router_logits	0-64	320	0.399754207	0.031043524	-0.005325353	-0.006670657	-0.006982422	0.946875000	0.973125000	-0.004248047
base_k100	4	router_logits	1024-1000000000	196	0.499888307	0.021178546	+0.000110286	+0.000234623	-0.003985969	0.984693878	0.961904762	-0.003188776
base_k100	4	router_logits	256-512	20	0.399877727	0.024605799	-0.001880157	-0.003994417	+0.011718750	0.900000000	1.000000000	-0.000781250
base_k100	4	router_logits	512-768	20	0.399842605	0.025235346	+0.001140457	+0.001447773	-0.014062500	0.950000000	1.000000000	-0.007031250
base_k100	4	router_logits	64-256	15	0.399780353	0.031287960	-0.002715437	-0.003383446	+0.009375000	0.933333333	1.000000000	+0.013541667
base_k100	4	router_logits	768-1024	21	0.380846347	0.023525589	-0.006932520	-0.006673257	-0.019345238	0.952380952	0.980952381	-0.007440476
base_k100	4	router_logits	all	592	0.432243817	0.026655196	-0.003181766	-0.003936566	-0.005621833	0.957770270	0.972184685	-0.003536740
