label	layer	phase	bucket	count	mean_cos	mean_rel_l2	mean_rms_delta	mean_mean_abs_delta	mean_max_abs_delta	mean_router_top1_match	mean_router_topk_jaccard	mean_router_margin_delta
base_k100	12	output	256-512	8	0.990873560	0.123255080	+0.011552542	+0.002353042	+0.750000000	nan	nan	nan
base_k100	12	output	512-768	8	0.993568271	0.110368249	+0.008201480	+0.000453793	+0.875000000	nan	nan	nan
base_k100	12	output	64-256	6	0.975376775	0.194502309	+0.021104296	+0.018586487	-0.083333333	nan	nan	nan
base_k100	12	output	768-1024	8	0.980859749	0.182849019	-0.007815659	-0.000815012	+0.187500000	nan	nan	nan
base_k100	12	output	all	256	0.979080376	0.162862977	-0.001180432	-0.001100063	+0.016601562	nan	nan	nan
base_k100	12	router_logits	0-64	128	0.992920138	0.082298232	-0.003613900	-0.007081797	+0.030517578	0.804687500	0.780282738	-0.000427246
base_k100	12	router_logits	1024-1000000000	98	0.981307784	0.093378342	+0.018167287	+0.017180949	+0.046875000	0.816326531	0.771137026	+0.005500638
base_k100	12	router_logits	256-512	8	0.998557329	0.048720010	-0.015227571	-0.019932747	-0.050781250	0.875000000	0.692857143	-0.058593750
base_k100	12	router_logits	512-768	8	0.998667307	0.049834769	+0.010408923	+0.008782864	-0.011718750	1.000000000	0.683333333	-0.062500000
base_k100	12	router_logits	64-256	6	0.996647457	0.068971963	+0.006431441	-0.005048116	+0.132812500	0.500000000	0.800000000	+0.000000000
base_k100	12	router_logits	768-1024	8	0.995651804	0.086399967	+0.015660211	+0.015294552	+0.021484375	0.750000000	0.700000000	-0.003906250
base_k100	12	router_logits	all	256	0.989003268	0.084291879	+0.005637250	+0.003047389	+0.035034180	0.808593750	0.768973214	-0.002014160
base_k100	16	attention_output	0-64	128	0.922028677	0.360090178	-0.049202147	-0.017108754	-0.741699219	nan	nan	nan
base_k100	16	attention_output	1024-1000000000	98	0.962387769	0.261228250	-0.015941464	-0.007614027	-0.065369898	nan	nan	nan
base_k100	16	attention_output	256-512	8	0.978253148	0.201413537	-0.021223888	-0.015929785	+0.445312500	nan	nan	nan
base_k100	16	attention_output	512-768	8	0.966863312	0.260603126	-0.025562502	-0.009508312	+0.015625000	nan	nan	nan
base_k100	16	attention_output	64-256	6	0.926013629	0.360825837	-0.045797765	-0.011248688	-0.984375000	nan	nan	nan
base_k100	16	attention_output	768-1024	8	0.950356439	0.342206684	+0.003854662	+0.013984233	+1.015625000	nan	nan	nan
base_k100	16	attention_output	all	256	0.941615379	0.313635364	-0.033118667	-0.012090696	-0.372802734	nan	nan	nan
base_k100	16	input	0-64	128	0.950831936	0.246118169	+0.020168204	+0.018366651	+0.218261719	nan	nan	nan
base_k100	16	input	1024-1000000000	98	0.977495206	0.167405773	-0.027523974	-0.008609106	-0.928571429	nan	nan	nan
base_k100	16	input	256-512	8	0.989952095	0.129224835	+0.014652669	+0.003968272	+0.812500000	nan	nan	nan
base_k100	16	input	512-768	8	0.985094890	0.153624837	-0.012220725	+0.000446185	-0.562500000	nan	nan	nan
base_k100	16	input	64-256	6	0.965166400	0.222388972	-0.000619849	+0.020034999	-0.416666667	nan	nan	nan
base_k100	16	input	768-1024	8	0.970218733	0.231118841	-0.028124973	-0.004633203	-1.187500000	nan	nan	nan
base_k100	16	input	all	256	0.964273993	0.208417865	-0.001269854	+0.006350387	-0.285400391	nan	nan	nan
base_k100	16	mlp_output	0-64	128	0.949815394	0.316333957	+0.000589261	+0.000416320	+0.010574341	nan	nan	nan
base_k100	16	mlp_output	1024-1000000000	98	0.970312190	0.221588326	-0.000174494	-0.000027025	-0.001574458	nan	nan	nan
base_k100	16	mlp_output	256-512	8	0.984948836	0.162663697	+0.000483044	-0.000004378	+0.008789062	nan	nan	nan
base_k100	16	mlp_output	512-768	8	0.975412875	0.229723169	+0.000434962	+0.000067389	+0.002197266	nan	nan	nan
base_k100	16	mlp_output	64-256	6	0.955675970	0.314028156	+0.002600126	+0.000791317	+0.044921875	nan	nan	nan
base_k100	16	mlp_output	768-1024	8	0.940494731	0.328793184	+0.000860546	+0.000276519	+0.020019531	nan	nan	nan
base_k100	16	mlp_output	all	256	0.959405752	0.272890671	+0.000344352	+0.000226971	+0.006706238	nan	nan	nan
base_k100	16	moe_output	0-64	128	0.842601615	0.559304626	+0.002636977	+0.002208446	+0.020431519	nan	nan	nan
base_k100	16	moe_output	1024-1000000000	98	0.914626430	0.372368571	+0.000491433	+0.000167018	+0.025231186	nan	nan	nan
base_k100	16	moe_output	256-512	8	0.944364078	0.296704140	-0.000224204	+0.000022552	-0.006347656	nan	nan	nan
base_k100	16	moe_output	512-768	8	0.916869372	0.368854638	-0.001321216	-0.001317543	+0.000488281	nan	nan	nan
base_k100	16	moe_output	64-256	6	0.804087684	0.486879081	-0.002396664	-0.001609447	-0.052734375	nan	nan	nan
base_k100	16	moe_output	768-1024	8	0.902658515	0.454289926	+0.002475586	+0.001272604	+0.067382812	nan	nan	nan
base_k100	16	moe_output	all	256	0.876648667	0.468606157	+0.001479511	+0.001129738	+0.020561218	nan	nan	nan
base_k100	16	output	0-64	128	0.954835873	0.242804495	+0.023206699	+0.017086834	+0.584960938	nan	nan	nan
base_k100	16	output	1024-1000000000	98	0.981494663	0.160951560	-0.019097152	-0.006303396	-0.625000000	nan	nan	nan
base_k100	16	output	256-512	8	0.989984460	0.136050091	+0.033545315	+0.004992709	+1.750000000	nan	nan	nan
base_k100	16	output	512-768	8	0.985478312	0.156938391	-0.017108843	-0.006053094	-0.500000000	nan	nan	nan
base_k100	16	output	64-256	6	0.962485294	0.241598204	-0.007711212	+0.018288915	-1.083333333	nan	nan	nan
base_k100	16	output	768-1024	8	0.977068298	0.212738675	-0.051174313	-0.006091874	-2.562500000	nan	nan	nan
base_k100	16	output	all	256	0.967971207	0.204482948	+0.003026432	+0.006335537	-0.013183594	nan	nan	nan
base_k100	16	router_logits	0-64	128	0.974666542	0.143024943	+0.012620598	+0.011045191	+0.035888672	0.609375000	0.647991071	-0.010986328
base_k100	16	router_logits	1024-1000000000	98	0.992916308	0.095764124	+0.009618620	+0.010760468	-0.015146684	0.775510204	0.777162293	-0.018335459
base_k100	16	router_logits	256-512	8	0.997340240	0.065080436	-0.035572290	-0.039888620	+0.027343750	0.750000000	0.816666667	-0.027343750
base_k100	16	router_logits	512-768	8	0.997298121	0.070117574	+0.011796936	+0.008212566	+0.001953125	0.750000000	0.675000000	-0.025390625
base_k100	16	router_logits	64-256	6	0.987543335	0.120878657	-0.035344640	-0.045997620	+0.098958333	0.833333333	0.700000000	+0.044270833
base_k100	16	router_logits	768-1024	8	0.994477347	0.110259692	+0.033222854	+0.035834789	+0.037109375	0.625000000	0.609523810	+0.033203125
base_k100	16	router_logits	all	256	0.983989458	0.118675822	+0.009459271	+0.008693729	+0.016540527	0.687500000	0.703571429	-0.012084961
base_k100	20	attention_output	0-64	128	0.948790141	0.302051670	-0.064845342	-0.008467911	-1.564941406	nan	nan	nan
base_k100	20	attention_output	1024-1000000000	98	0.966471126	0.232467421	-0.055109207	-0.011031915	-1.519132653	nan	nan	nan
base_k100	20	attention_output	256-512	8	0.982149757	0.196505220	-0.123033658	-0.025003131	-1.968750000	nan	nan	nan
base_k100	20	attention_output	512-768	8	0.965948686	0.238542592	-0.058944970	-0.031135648	-1.203125000	nan	nan	nan
base_k100	20	attention_output	64-256	6	0.939482709	0.355802497	+0.053439349	+0.018183192	+1.604166667	nan	nan	nan
base_k100	20	attention_output	768-1024	8	0.956072241	0.281885519	-0.074165776	-0.012136381	-2.437500000	nan	nan	nan
base_k100	20	attention_output	all	256	0.957146758	0.270760557	-0.060271192	-0.010164541	-1.501708984	nan	nan	nan
base_k100	20	input	0-64	128	0.905743005	0.372250627	+0.011775339	+0.010763150	+0.390625000	nan	nan	nan
base_k100	20	input	1024-1000000000	98	0.947890174	0.261919335	-0.028121511	-0.013077196	-0.732142857	nan	nan	nan
base_k100	20	input	256-512	8	0.965703376	0.224338397	-0.015350856	-0.007746562	-0.453125000	nan	nan	nan
base_k100	20	input	512-768	8	0.951473095	0.268749143	+0.001736835	-0.003696132	+0.875000000	nan	nan	nan
